Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
00045D       3    No     00000005-0000000C        8
000F73       9    No     0000000D-0000001A        E
0044B5      22    No     0000001B-00000041       27
0044E1      35    No     00000042-0000007B       3A
004520      12    Yes    0000007C-00000083        8
004535      12    No     00000084-0000009A       17
00454D      16    No     0000009B-000000B5       1B
004569      39    Yes    000000B6-000000BD        8
0045A5      2E    No     000000BE-000000F0       33
0045D9      24    No     000000F1-00000119       29
004603       4    No     0000011A-00000122        9
004607       E    Yes    00000123-0000012A        8
004615      35    No     0000012B-00000164       3A
00464D      35    Yes    00000165-0000016C        8
004685       B    No     0000016D-0000017C       10
00469A      5B    Yes    0000017D-00000184        8
0046F5      38    No     00000185-000001C1       3D
00472D       E    Yes    000001C2-000001C9        8
00473B       4    No     000001CA-000001D2        9
004745      16    No     000001D3-000001ED       1B
004761      47    Yes    000001EE-000001F5        8
0047AB      2E    No     000001F6-00000228       33
0047DF       F    No     00000229-0000023C       14
0047F1      27    Yes    0000023D-00000244        8
00481B      2A    No     00000245-00000273       2F
004845       E    Yes    00000274-0000027B        8
004853      43    No     0000027C-000002C3       48
0048A0      20    Yes    000002C4-000002CB        8
0048C3      35    No     000002CC-00000305       3A
0048FB      35    Yes    00000306-0000030D        8
004933      2A    No     0000030E-0000033C       2F
00495D       E    Yes    0000033D-00000344        8
00496B       B    No     00000345-00000354       10
004980      C8    Yes    00000355-0000035C        8
004A4B      1C    No     0000035D-0000037D       21
004A67       E    Yes    0000037E-00000385        8
004A75      19    No     00000386-000003A3       1E
004A98      4A    Yes    000003A4-000003AB        8
004AE5       B    No     000003AC-000003BB       10
004AFA      58    Yes    000003BC-000003C3        8
004B55      12    No     000003C4-000003DA       17
004B6D       4    No     000003DB-000003E3        9
004B71       E    Yes    000003E4-000003EB        8
004B7F       4    No     000003EC-000003F4        9
004B89       8    No     000003F5-00000401        D
004B9B       4    No     00000402-0000040A        9
004BA9       4    No     0000040B-00000413        9
004BB7       4    No     00000414-0000041C        9
004BC5       4    No     0000041D-00000425        9
004BD3       4    No     00000426-0000042E        9
004BE1       4    No     0000042F-00000437        9
004BEF       4    No     00000438-00000440        9
004BFD       4    No     00000441-00000449        9
004C0B       4    No     0000044A-00000452        9
004C19       4    No     00000453-0000045B        9
004C23       8    No     0000045C-00000468        D
004C31       8    No     00000469-00000475        D
004C3F       8    No     00000476-00000482        D
004C4D       8    No     00000483-0000048F        D
004C5B       8    No     00000490-0000049C        D
004C69       4    No     0000049D-000004A5        9
004C6D      9A    Yes    000004A6-000004AD        8
004D8E      EE    No     000004AE-000005A0       F3
007FDC       4    No     000005A1-000005A9        9
00A3D7       2    No     000005AA-000005B0        7
00A3E0       6    No     000005B1-000005BB        B
00A3EE       2    No     000005BC-000005C2        7
00A4CF      77    No     000005C3-0000063E       7C
00A552       1    No     0000063F-00000644        6
00A59A       1    No     00000645-0000064A        6
00A9F3       6    No     0000064B-00000655        B
00AA1C      82    No     00000656-000006DC       87
00AA9E       E    Yes    000006DD-000006E4        8
00AB20       1    No     000006E5-000006EA        6
00AB2A       2    No     000006EB-000006F1        7
00AB35       2    No     000006F2-000006F8        7
00AB57      33    No     000006F9-00000730       38
00B00B       1    No     00000731-00000736        6
00B01B      33    No     00000737-0000076E       38
00B72E       E    No     0000076F-00000781       13
00B76A      16    No     00000782-0000079C       1B
00B7A6      1E    No     0000079D-000007BF       23
00B7E2      26    No     000007C0-000007EA       2B
00B81E      2E    No     000007EB-0000081D       33
00B85A      36    No     0000081E-00000858       3B
00B89A      3A    No     00000859-00000897       3F
00B8DA     2BA    No     00000898-00000B56      2BF
00BB9A      38    No     00000B57-00000B93       3D
00BBDE      34    No     00000B94-00000BCC       39
00BC22      30    No     00000BCD-00000C01       35
00BC66      2C    No     00000C02-00000C32       31
00BCA6      2C    No     00000C33-00000C63       31
00BCE6      24    No     00000C64-00000C8C       29
00BD26      20    No     00000C8D-00000CB1       25
00BD6A      16    No     00000CB2-00000CCC       1B
00BF2E       E    No     00000CCD-00000CDF       13
00BF6A      16    No     00000CE0-00000CFA       1B
00BFA6      1E    No     00000CFB-00000D1D       23
00BFE2      26    No     00000D1E-00000D48       2B
00C01E       6    No     00000D49-00000D53        B
00C02C      20    No     00000D54-00000D78       25
00C05A       8    No     00000D79-00000D85        D
00C06A      10    No     00000D86-00000D9A       15
00C082       E    No     00000D9B-00000DAD       13
00C09A       8    No     00000DAE-00000DBA        D
00C0AA       6    No     00000DBB-00000DC5        B
00C0C2      12    No     00000DC6-00000DDC       17
00C0DA       8    No     00000DDD-00000DE9        D
00C102       8    No     00000DEA-00000DF6        D
00C110      14    No     00000DF7-00000E0F       19
00C142      26    No     00000E10-00000E3A       2B
